id_web;virtual;downloadable;rating_count;average_rating;total_sales;tax_status;post_parent;menu_order
11847;0;0;0;0;0;;0;0
14371;0;0;0;0;0;taxable;0;0
15678;0;0;0;0;0;;0;0
16416;0;0;0;0;2;;0;0
16130;0;0;0;0;9;;0;0
15921;0;0;0;0;0;;0;0
15378;0;0;0;0;1;taxable;0;0
15141;0;0;0;0;18;taxable;0;0
14805;0;0;0;0;0;taxable;0;0
16044;0;0;0;0;7;;0;0
16238;0;0;0;0;7;taxable;0;0
16129;0;0;0;0;3;;0;0
12857;0;0;0;0;0;;0;0
15280;0;0;0;0;0;taxable;0;0
;0;0;0;;;;;
15038;0;0;0;0;10;taxable;0;0
16081;0;0;0;0;0;;0;0
15325;0;0;0;0;4;;0;0
16281;0;0;0;0;0;;0;0
15038;0;0;0;0;10;;0;0
16505;0;0;0;0;12;taxable;0;0
15880;0;0;0;0;1;taxable;0;0
14101;0;0;0;0;0;;0;0
16527;0;0;0;0;15;taxable;0;0
15649;0;0;0;0;18;taxable;0;0
16072;0;0;0;0;0;;0;0
15621;0;0;0;0;19;taxable;0;0
14604;0;0;0;0;7;taxable;0;0
15032;0;0;0;0;8;taxable;0;0
;0;0;0;;;;;
15329;0;0;0;0;3;taxable;0;0
15812;0;0;0;0;11;;0;0
15733;0;0;0;0;19;taxable;0;0
15237;0;0;0;0;0;taxable;0;0
16191;0;0;0;0;5;;0;0
14099;0;0;0;0;0;;0;0
15711;0;0;0;0;0;taxable;0;0
14395;0;0;0;0;4;;0;0
15261;0;0;0;0;6;taxable;0;0
15790;0;0;0;0;0;taxable;0;0
12194;0;0;0;0;0;;0;0
14941;0;0;0;0;6;;0;0
15414;0;0;0;0;3;taxable;0;0
15482;0;0;0;0;3;;0;0
15030;0;0;0;0;9;taxable;0;0
14950;0;0;0;0;4;taxable;0;0
15892;0;0;0;0;0;taxable;0;0
13412;0;0;0;0;0;;0;0
15425;0;0;0;0;4;taxable;0;0
16130;0;0;0;0;9;taxable;0;0
16567;0;0;0;0;0;;0;0
